60769 1231 225 207 216 247 258 207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14663 14753 14718 14704 14257 14246 13788 14086 14034 14104 14112 14393 14369 14331 13828 13979 13914 13914 13803 13934 13410 13424 12624 12579 12604 12615 12634 13231 13211 13270 13185 13845 13759 13799 13814 14140 14163 14098 14158 14787
48552 1165 358 216 215 223 397 203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13041 13045 13346 13257 13372 13065 13072 13203 12995 13052 13388 13402 13401 13344 13548 13525 14344 14156 14102 14116 14268 13407 13697 13599 13923 13869 13896 14063 13931 13208 13083 13173 13392 13399 13427 13387 13483 12821 12920 12867
57628 779 318 256 216 219 277 212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12003 12097 11607 11607 11502 12054 11990 11955 12015 11976 11994 12033 12020 12015 12067 12035 11064 11099 11139 11151 11233 11804 11767 11793 11316 11298 11305 11285 11331 11940 11912 11901 11514 11500 11486 11498 11497 12132 12038 12047
48586 1061 127 82 120 111 179 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10795 10934 11084 11087 11341 11417 12054 11221 11204 11151 11134 11098 11114 11142 11134 11147 11480 11317 11426 11305 11314 11368 12017 11945 12115 12113 12096 12121 12079 12125 12080 11656 11839 11785 11796 11274 11356 11420 11420 10947
58160 951 181 182 181 182 153 163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12031 12059 11142 11186 11111 11153 11141 11483 11439 11486 11468 11812 11828 11742 11788 11787 11835 11781 11755 12144 12192 12051 12100 12079 11639 11698 10886 11493 11540 11457 11436 11576 11638 11653 11640 11809 11704 11699 11702 12192
48316 951 273 264 225 269 235 235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12539 12006 12266 12238 12610 12658 12567 12667 12684 11681 11773 11709 12028 12070 12021 12040 12037 11024 11057 11095 11100 11054 11093 11080 11188 11258 11516 11490 11505 11475 11801 11863 11862 11850 11816 11824 12477 12494 12518 12535
56571 1043 316 275 266 288 341 278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11166 12027 11933 11922 11453 11561 11493 11516 11510 12111 12189 12195 11743 11733 11737 11745 11700 12697 12600 12562 12581 12568 12545 12495 12657 12638 12678 12642 12671 12583 12215 12261 12211 12232 12190 12144 11224 11281 11314 11302
49636 636 467 451 444 497 480 461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12498 12475 13203 13191 13447 13401 13422 12873 12810 12950 12907 12071 12274 12178 12169 12193 12175 12201 12257 11656 11731 11697 11705 11702 11664 11728 11979 11554 11579 11617 11730 11667 11638 11652 12012 11997 12287 12323 12309 12324
59972 1324 467 472 450 417 410 404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12290 12337 12356 12346 12411 12487 11961 12840 12741 12740 12808 13106 13078 13057 12709 12737 12681 12651 12667 13102 12707 12676 11840 11809 11744 11759 11729 11864 11922 11918 11928 12590 12492 12471 12363 12384 12459 12484 12460 12430
48939 1123 431 317 333 324 362 342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12229 12316 12316 12330 12310 12267 12407 12459 12419 12439 12502 12478 12542 12475 12682 12683 13016 12987 13017 13013 13133 12154 12451 12461 12813 12855 12866 12845 12871 12357 12329 12326 13030 12986 13299 13267 13350 12430 12430 12374
